Date,Symbol,Close,Price_Change_Percent,Delivery_Qty,Previous_Day_Delivery,Delivery_Multiple,Previous_Calendar_Month_Max,Delivery_Percent
2021-09-16,COFORGE,5465.45,1.7907362225988421,262785,64650.0,4.064733178654293,116399,39.93
2021-09-16,OBEROIRLTY,771.05,-0.6442883834804459,768047,192197.0,3.9961445808207205,226709,78.94
2021-09-16,CROMPTON,490.35,0.06121824303642717,1164399,293988.0,3.960702477652149,534364,54.0
2021-09-16,MCX,1640.25,1.920029825706036,306233,80425.0,3.8076841778054087,203854,24.04
2021-09-16,PNB,41.8,7.870967741935477,56349701,14990235.0,3.7590939034644886,14990235,29.56
2021-09-16,HAL,1431.95,2.0597982965681974,829197,221119.0,3.7500033918387836,366135,32.38
2021-09-16,SIEMENS,2199.6,-0.4142614601018717,107045,30804.0,3.4750357096480977,50902,61.31
2021-09-16,ITC,230.75,6.828703703703703,44833384,13749583.0,3.2607086338545685,13749583,30.04
2021-09-16,INDUSTOWER,269.35,10.14107544469434,4533271,1552224.0,2.9205005205434267,1552224,10.59
2021-09-16,CHOLAFIN,609.4,5.0689655172413755,1657856,577082.0,2.872825698947463,690192,30.7
2021-09-16,INDUSINDBK,1130.95,7.3058494235969444,5450819,2018735.0,2.7001161618538343,4155548,20.02
2021-09-16,IDEA,11.25,25.69832402234638,718208890,271384245.0,2.6464649412496293,271384245,30.12
2021-09-16,LUPIN,968.1,-2.1478748673371406,1569958,627238.0,2.5029701644351903,627238,53.02
2021-09-16,MCDOWELL-N,743.1,-1.2557305162447587,1009673,406116.0,2.486168976351584,728699,54.64
2021-09-16,FEDERALBNK,85.9,2.689778840406455,7263900,3138987.0,2.3140905011712376,3138987,37.3
2021-09-16,BANKBARODA,85.9,5.658056580565816,32446623,14865614.0,2.1826628217307404,14865614,39.04
2021-09-16,INTELLECT,662.3,4.439012851848928,305228,140356.0,2.1746701245404543,140356,47.45
2021-09-16,TATACOMM,1382.5,0.37390641449160283,319950,152474.0,2.0983905452732925,152474,77.69
2021-09-16,ICICIBANK,727.2,1.798838104570592,6664432,3192052.0,2.087820624476042,3192052,49.16
2021-09-16,HEROMOTOCO,2920.4,1.580897059079298,728119,363752.0,2.0016907123534717,363752,65.12
2021-09-17,INDIGO,2196.05,10.92001919337325,1638398,165172.0,9.919344683118204,254740,19.54
2021-09-17,POLYCAB,2505.75,2.597960938459641,766162,82524.0,9.284111288837186,105365,34.74
2021-09-17,MFSL,1081.7,-2.0598487935171352,1501118,200125.0,7.500901936289819,564595,43.87
2021-09-17,BAJFINANCE,7428.8,0.23342103487823224,1275198,177821.0,7.171245241000782,346189,36.7
2021-09-17,NAVINFLUOR,3860.15,-4.180164078886946,314133,44983.0,6.98337149589845,59041,61.4
